                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
95                              姬卿;黄武;闵义;傅国华                                                                                                                                                                        海南大学科研处;海南大学热带农林学院;海南大学经济与管理学院;                生态学报                            生态宜居,文献计量,新型城镇化,研究热点,Citespace      Journal Article                                                     基于文献计量的生态宜居研究热点和趋势分析  2019
96                                   刘从德;谭春霞                                                                                                                                                                                         华中师范大学马克思主义学院;           学校党建与思想教育                                大数据,思想政治教育,CiteSpace,可视化分析      Journal Article                              大数据时代思想政治教育研究文献的定量研究——基于CiteSpace的文献计量可视化分析  2019
97                                     李堃;王奇                                                                                                                                                                                         北京大学环境科学与工程学院;              环境科学学报              碳排放责任分配,文献计量,Web of Science核心数据库,Citespace软件      Journal Article                                                 基于文献计量方法的碳排放责任分配研究发展态势分析  2019
98                             张健;孙辉;张建华;刘振铎                                                                                                                                                                              华东师范大学体育与健康学院;西北师范大学体育学院;            成都体育学院学报                                   久坐行为,环境,体力活动,儿童青少年,前沿热点      Journal Article  国际儿童青少年体力活动研究的特征与前沿热点解析(1987-2017)——基于ISI Web of Science~(TM)的文献计量可视化研究  2019
99                                 王坚;张玥;朱庆华                                                                                                                                                                                            南京大学信息管理学院;            信息资源管理学报                         智慧养老,互联网+,文献计量,养老产业,养老产品,信息技术,物联网      Journal Article                                                         智慧养老领域的研究现状与热点分析  2019
100                                       李伟                                                                                                                                                                                            陕西师范大学教育学院;                成人教育                                    农村成人教育,乡村振兴,研究热点,共词可视化      Journal Article                                     农村成人教育助力乡村振兴——我国农村成人教育研究热点的文献计量可视化分析  2019
101                                 解伟;魏玮;崔琦                                                                                                                                                       北京大学现代农学院中国农业政策研究中心;北京商业干部管理学院;北京师范大学经济与资源管理研究院;          中国人口·资源与环境                              温度,降水,CO2肥效,粮食单产,损失函数,Meta分析      Journal Article                                             气候变化对中国主要粮食作物单产影响的文献计量Meta分析  2019
102                        黄颖;张琳;孙蓓蓓;王志楠;朱东华                                                                                                                                                 湖南大学法学院公共管理系;北京理工大学管理与经济学院;武汉大学信息管理学院;华北水利水电大学管理与经济学院;               科学学研究                                  跨学科,交叉科学,文献计量,知识会聚,学科多样性      Journal Article                                           跨学科的三维测度——外部知识融合、内在知识会聚与科学合作模式  2019
103                                   石京民;李健                                                                                                                                                                         北京理工大学管理与经济学院;北京理工大学人文与社会科学学院;     北京理工大学学报(社会科学版)                                      企业社会责任,文献计量,演进脉络,可视化      Journal Article                                              基于CiteSpace的国内外企业社会责任研究比较分析  2019
104                                   毕琪;骆华杰                                                                                                                                                                                     上海交通大学医学院附属仁济医院南院;                中国医院                                      日间手术,文献计量,聚类分析,战略坐标图      Journal Article                                           1997-2017年基于CNKI数据库的日间手术文献计量分析  2019
105                                   刘昊;张志强                                                                                                                                                                                         中国科学院成都文献情报中心;                情报杂志                                政策科学,政策分析,政策信息学,学科信息学,知识图谱      Journal Article                                         文献计量视角下政策科学研究的新方向——从政策量化研究到政策信息学  2019
106                          高云峰;徐友宁;祝雅轩;张江华                                                                                                                                                        中国地质调查局西安地质调查中心;长安大学地球科学与资源学院;中国地质调查局青岛海洋地质研究所;                地质通报                    矿山地质环境,生态环境修复,VOSviewer,CiteSpace,文献计量      Journal Article                        矿山生态环境修复研究热点与前沿分析——基于VOSviewer和CiteSpace的大数据可视化研究  2018
107                                   孙威;毛凌潇                                                                                                                                                                        中国科学院地理科学与资源研究所;中国科学院大学资源与环境学院;                地理学报                               京津冀地区,文献计量,CiteSpace方法,研究热点      Journal Article                                                基于CiteSpace方法的京津冀协同发展研究演化  2018
108                                  顾至欣;张青萍                                                                                                                                                                                 南京林业大学风景园林学院;南京旅游职业学院;                中国园林                                风景园林,苏州古典园林,知识图谱,研究现状,文献计量      Journal Article                                       近20年国内苏州古典园林研究现状及趋势——基于CNKI的文献计量分析  2018
109                                      尚笑可                                                                                                                                                                                                                                                    汉语国际教育,CiteSpace信息可视化软件,热点主题,研究前沿  Dissertation/Thesis                                                   近十年来汉语国际教育研究的热点主题与研究前沿  2018
110                                       王晴                                                                                                                                                                                               南开大学商学院;                心理研究                                   工作投入,员工敬业度,护士,企业员工,高校教师      Journal Article                                                      国内工作投入研究的15年:文献计量综述  2018
111                                    白凯;王馨                                                                                                                                                          陕西师范大学地理科学与旅游学院;陕西省旅游信息化工程实验室;陕西省旅游信息科学重点实验室;                旅游导刊                                        中国,旅游者行为,文献计量,研究述评      Journal Article                                                   中国旅游者行为研究述评(1987—2018)  2018
112                                  杜志鹏;苏德纯                                                                                                                                                                      中国农业大学资源与环境学院农田土壤污染防控与修复北京市重点实验室;            农业环境科学学报                                   文献计量,稻田,重金属,镉,修复技术,降镉效果      Journal Article                                                   稻田重金属污染修复治理技术及效果文献计量分析  2018
113                                       马萍                                                                                                                                                                                          南京林业大学经济管理学院;              经济研究导刊                                       层次分析法,AHP,评价指标体系,评价      Journal Article                                                         基于文献计量层次分析法的研究综述  2018
114                                   翁李胜;雷燕                                                                                                                                                               中山大学地理科学与规划学院;中山大学旅游发展与规划研究中心;国家体育总局人事司;              中国体育科技                                       体育旅游,文献计量,内容分析,研究进展      Journal Article                                                     中国体育旅游研究进展:基于文献计量的分析  2018
115                                  曹献雨;睢党臣                                                                                                                                                                                           陕西师范大学国际商学院;               经济与管理                                             人口老龄化,养老,文献计量      Journal Article                                                     人口老龄化背景下我国养老问题研究趋势分析  2018
116                           朱庆华;韩文婷;吴琼;包凡仁                                                                                                                                                                                 南京大学信息管理学院;南京大学工程管理学院;            信息资源管理学报                       健康信息学,文献计量,知识图谱,消费者健康信息学,健康中国,健康大数据      Journal Article                                                         健康信息学研究:起源、现状与未来  2018
117                                      朱婷婷                                                                                                                                                                                        南京医科大学人文社会科学学院;            医学与哲学(A)                                              叙事医学,文献计量,中医      Journal Article                                                      国内外叙事医学研究演进、现状、热点分析  2018
118                            王耕;常畅;于小茜;徐惠民                                                                                                                                                                   辽宁师范大学城市与环境学院;中国科学院南海海洋研究所;钦州学院海洋学院;                生态学报                            珊瑚,珊瑚礁,文献计量,研究热点,关键词,共词分析,聚类分析      Journal Article                                                      基于文献计量分析的珊瑚礁研究现状与热点  2019
119                                   李海;盘劲呈                                                                                                                                                                          上海体育学院体育休闲与艺术学院;上海体育学院经济管理学院;               体育学研究                             体育旅游,文献计量,研究进展,体育赛事,旅游生态,体育产业      Journal Article                                                            中外体育旅游研究进展与评述  2018
120                             吕文晶;徐丽;刘进;陈劲                                                                                                                                                               清华大学经济管理学院;清华大学技术创新研究中心;北京理工大学人文与社会科学学院;                技术经济                                       人工智能,文献计量,知识图谱,创新研究      Journal Article                                  中国人工智能研究的十年回顾——基于2008—2017年间文献计量和知识图谱分析  2018
121                                       眭玥                                                                                                                                                                                            西南财经大学会计学院;                财会通讯                                 内部控制,CSSCI,文献计量,CiteSpace      Journal Article                                                            内部控制研究现状及热点分析  2018
122                      欧阳威;刘迎春;冷思文;刘宏斌;王依滴                                                                                                                                            北京师范大学环境学院环境模拟与污染控制国家重点联合实验室;北京师范大学图书馆;中国农业科学院农业资源与农业区划研究所;            农业环境科学学报                              面源污染,文献计量,发展趋势,CiteSpace,H指数      Journal Article                                                        近三十年非点源污染研究发展趋势分析  2018
123                        宋世雄;刘志锋;何春阳;赵瑞;任强                                                                                                                                     北京师范大学地表过程与资源生态国家重点实验室人与环境可持续研究中心;北京师范大学地理科学学部自然资源学院土地资源与区域发展研究中心;              地球科学进展                                      城市扩展过程,对自然生境的影响,文献计量      Journal Article                                                     城市扩展过程对自然生境影响评价的研究进展  2018
124                               孙洁;吴一农;徐庆宁                                                                                                                                                                                             中国计量大学图书馆;               残疾人研究                                  文献计量,康复需求,康复机构,康复人才,社区康复      Journal Article                                                         我国近十年残疾人康复文献研究综述  2018
125                       庞宇舟;尚昱志;林基勇;方刚;张青槐                                                                                                                                                                                  广西中医药大学;广西中医药大学研究生学院;     中南民族大学学报(自然科学版)                               壮医药,可视化,文献计量,CiteSpace,SATI      Journal Article                                                   基于CiteSpace的壮医药研究可视化分析  2018
126                              张宸嘉;方一平;陈秀娟                                                                                                                                             中国科学院水利部成都山地灾害与环境研究所;中国科学院大学;中国科学院大学资源与环境学院;中国科学院成都文献情报中心;              地球科学进展                                   中国,可持续生计,可持续发展,文献计量,可视化      Journal Article                                                     基于文献计量的国内可持续生计研究进展分析  2018
127                               张亚如;张俊飚;张昭                                                                                                                                                                   华中农业大学经济管理学院;湖北农村发展研究中心;农业农村部科技发展中心;              中国科技论坛                                    农业技术,研究前沿,文献计量,关键词共现分析      Journal Article                                           中国农业技术研究进展——基于CiteSpace的文献计量分析  2018
128                                   景安麒;朱月                                                                                                                                                               清华大学附属中学;北京林业大学生物科学与技术学院食品加工与安全北京市重点实验室;              食品工业科技                            黑果腺肋花楸,繁殖技术,栽培技术,生物活性成分,相关产品研发      Journal Article                                                    基于文献计量的黑果腺肋花楸国内研究现状分析  2018
129                                    杨正;田进                                                                                                                                                                         北京航空航天大学公共管理学院;中南财经政法大学公共管理学院;                情报杂志                                政府数据,政策体系,数据开放利用,政策工具,文献计量      Journal Article                                              政府数据开放利用的政策文献计量研究——一个三维分析视角  2018
130                                      吴加琪                                                                                                                                                                                           南京信息工程大学档案馆;                现代情报                                  用户画像,知识图谱,知识网络,热点领域,文献计量      Journal Article                                                     我国用户画像研究的知识网络与热点领域分析  2018
131                              叶娟丽;韩瑞波;王亚茹                                                                                                                                                                                         武汉大学政治与公共管理学院;       吉首大学学报(社会科学版)                                     环境治理政策,研究路径,演变规律,文献计量      Journal Article                                    我国环境治理政策的研究路径与演变规律分析——基于CNKI论文的文献计量分析  2018
132                          李振发;徐梦冉;贺灿飞;潘峰华                                                                                                                                    北京大学城市规划与设计学院;北京大学城市与环境学院;北京大学—林肯研究院城市发展与土地政策研究中心;北京师范大学地理科学学部地理学院;                经济地理                             金融地理学,金融业,金融化,研究综述,文献计量,中国,展望      Journal Article                                                             金融地理学研究综述与展望  2018
133                        曹亚龙;揭波;王磊;孟海军;吴国良                                                                                                                                                                                            河南农业大学园艺学院;                果树学报                          核桃,Web of Science,CNKI,文献计量,研究动态      Journal Article                                                         基于文献计量学的核桃研究动态分析  2018
134                                李昊;潘宇光;王磊                                                                                                                                                                                                合肥工业大学;            大学图书情报学刊                                  Bibliometrix,文献计量,可视化,网络      Journal Article                                       Bibliometrix:一款新的基于R语言的文献计量软件介绍与评价  2018
135                                  徐顽强;乔纳纳                                                                                                                                                                                          华中科技大学公共管理学院;              科技管理研究                                            新型研发机构,文献计量,述评      Journal Article                                                2001—2016年国内新型研发机构研究述评与展望  2018
136                                  陈天祥;龚翔荣                                                                                                                                                   中山大学中国公共管理研究中心/政治与公共事务管理学院;中山大学政治与公共事务管理学院;暨南大学人文学院;              公共行政评论                                         公共管理,文献计量,热点,演化路径      Journal Article                        国外公共管理学科领域研究热点及演化路径——基于SSCI样本期刊(2006—2015)的文献计量分析  2018
137                                  于贵思;赵明华                                                                                                                                                                                         山东师范大学地理与环境学院;       广州大学学报(自然科学版)                                   三生空间,国土空间,Cite-Space,综述      Journal Article                                                    基于文献计量的国内“三生空间”研究现状综述  2018
138                                      李宗彬                                                                                                                                                                                                                                                          网球,核心期刊,文献计量学,可视化,Citespace  Dissertation/Thesis                                  1992-2017年中文体育核心期刊中网球科研文献的文献计量学与可视化综合分析  2018
139                                      廖凤灵                                                                                                                                                                                                                                                                     知识图谱,社会网络分析,服务计算  Dissertation/Thesis                                                          科学知识图谱构建与应用方法研究  2018
140                               郝臣;付金薇;李维安                                                                                                                                                                                 南开大学中国公司治理研究院;南开大学商学院;                保险研究                                  保险公司,公司治理,内部治理,外部治理,文献计量      Journal Article                                        国外保险公司治理研究最新进展——基于2008～2017年文献的综述  2018
141                              陈荟竹;刘希林;邱锦安                                                                                                                                                                    中山大学地理科学与规划学院;广东省城市化与地理环境空间模拟重点实验室;              工程地质学报                              泥石流,灾害风险,学科发展,文献计量,CiteSpace      Journal Article                                          基于CiteSpace的近三十年中国泥石流灾害风险研究综合分析  2018
142                                      冯利伟                                                                                                                                                                                             中央财经大学商学院;                经济管理                                            国外,工作家庭冲突,文献计量      Journal Article                                                  国外工作家庭冲突研究态势——基于文献计量的分析  2018
143                           马学成;巩杰;柳冬青;张金茜                                                                                                                                                                                兰州大学资源环境学院西部环境教育部重点实验室;              地球科学进展                                  社会生态系统,文献计量,脆弱性,复杂性,可持续性      Journal Article                                                      社会生态系统研究态势:文献计量分析视角  2018
144                              李婷婷;王晶莹;李西营                                                                                                                                                                                       青岛大学师范学院;陕西师范大学;              课程教学研究                                        中学物理,可视化,教育研究,文献计量      Journal Article                                         我国中学物理教育研究的进展与趋势——基于中国知网的文献计量学研究  2018
145                         鄢斌;李丽;许贵如;袁乾;李映兰                                                                                                                                                                                中南大学湘雅护理学院;中南大学湘雅医院护理部;              护士进修杂志                                    失效模式与效应分析,医疗质量,文献计量,护理      Journal Article                                             失效模式与效应分析在我国医疗质量改进应用的文献计量学分析  2018
146                                      李牧南                                                                                                                                                                      华南理工大学工商管理学院;广东省创新方法与决策管理系统重点实验室;                科研管理                             技术预见,内容挖掘,文献计量,文本聚类,CiteSpace      Journal Article                                                     技术预见研究热点的演进分析:内容挖掘视角  2018
147                                   王节祥;蔡宁                                                                                                                                                                               浙江工商大学工商管理学院;浙江大学公共管理学院;             商业经济与管理                                    双边市场,网络效应,平台理论,生态系统,制度      Journal Article                                        平台研究的流派、趋势与理论框架——基于文献计量和内容分析方法的诠释  2018
148                              尚俊杰;裴蕾丝;吴善超                                                                                                                        北京大学教育学院;北京大学教育学院教育技术系;北京大学教育学院学习科学实验室;北京教育科学研究院基础教育科学研究所;国家自然科学基金委员会政策局发展与战略处;                教育研究                                  学习科学,理论发展,研究热点,未来发展,文献计量      Journal Article                                                      学习科学的历史溯源、研究热点及未来发展  2018
149                                黄微;徐烨;肖维泽                                                                                                                                                                                              吉林大学管理学院;                情报科学                                   网络舆情,危机响应,可视化,知识图谱,文献计量      Journal Article                                                基于知识图谱的国内网络舆情危机响应研究的可视化分析  2018
150                               李东和;吴润华;张莹                                                                                                                                                                                               安徽大学商学院;             资源开发与市场                                          风景道,文献计量,研究进展,中国      Journal Article                                                                我国风景道研究综述  2018
151                                   马永双;蔡敏                                                                                                                                                                         辽宁师范大学田家炳教育书院暨教育学院;长春师范大学物理学院;              比较教育研究                                          STEM教育,文献计量,知识图谱      Journal Article                                                       中美STEM教育研究的文献计量学分析  2018
152                                       胡浪                                                                                                                                                                                         广东松山职业技术学院图书馆;            图书馆工作与研究                                 图书情报学,研究热点,文献计量,CiteSpace      Journal Article                           2012-2016年国内图书情报学研究现状及热点探析——基于13种中文图情核心期刊的计量分析  2018
153                                肖巍;倪传斌;李锐                                                                                                                                                                     重庆大学外国语学院;南京师范大学外国语学院;华中科技大学外国语学院;              中国远程教育                         数据挖掘,学习分析,学习预警,预测,分类,文献计量,回顾,教育技术      Journal Article                                                    国外基于数据挖掘的学习预警研究:回顾与展望  2018
154                            吴爱芝;肖珑;张春红;刘姝                                                                                                                                                                                               北京大学图书馆;             大学图书馆学报                                           文献计量,学科竞争力,评价指标      Journal Article                                                    基于文献计量的高校学科竞争力评估方法与体系  2018
155                           谌凯;应向伟;吴叶青;林志坚                                                                                                                                                                                            浙江省科技信息研究院;              科技管理研究                                      医药制造业,专利分析,文献计量,发展态势      Journal Article                                                基于专利分析和文献计量的我国医药制造业发展态势研究  2018
156                               汪园;王学东;李金鑫                                                                                                                                                                                          华中师范大学信息管理学院;                现代情报                                   区块链,学科分布,知识网络,研究热点,文献计量      Journal Article                                                 基于文献计量的我国区块链研究的知识网络与结构分析  2018
157                                  夏德元;宁传林                                                                                                                                                 上海理工大学出版印刷与艺术设计学院;复旦大学新闻传播与媒介化社会研究国家哲学社会科学创新基地;上海理工大学;                当代传播                                “一带一路”,新闻传播学,文献计量,共词分析,SNA      Journal Article                                 “一带一路”新闻传播问题研究现状及热点分析——基于文献计量、共词分析与SNA方法  2018
158                               陈军;谢卫红;陈扬森                                                                                                                                                                             广东工业大学管理学院;广东工业大学大数据战略研究院;              中国科技论坛                                    大数据,推荐算法,SNA,文献计量,研究趋势      Journal Article                                                       国内外大数据推荐算法领域前沿动态研究  2018
159                               樊霞;贾建林;孟洋仪                                                                                                                                                                                          华南理工大学工商管理学院;                管理学报                               文献计量,创新生态系统,交叉学科,共被引分析,共词分析      Journal Article                                                        创新生态系统研究领域发展与演化分析  2018
160                                  王发明;朱美娟                                                                                                                                                                                            山东工商学院经济学院;                情报杂志                                             区块链,知识图谱,文献计量      Journal Article                                                         国内区块链研究热点的文献计量分析  2017
161                                       吕程                                                                                                                                                                                              南开大学经济学院;              中国流通经济                                           物流研究,热点,趋势,文献计量      Journal Article                                               国内外物流研究现状、热点与趋势——文献计量与理论综述  2017
162                                    乜勇;王滨                                                                                                                                                                                            陕西师范大学教育学院;             中国教育信息化                                            智慧校园,文献计量,内容分析      Journal Article                                                         现状与反思:国内智慧校园研究综述  2017
163                               李忠富;李晓丹;韩叙                                                                                                                                                                                           大连理工大学建设管理系;           土木工程与管理学报                                    工业化建筑,共词分析方法,研究热点,发展趋势      Journal Article                                                       我国工业化建筑领域研究热点及发展趋势  2017
164                                      陈圣白                                                                                                                                                                                              湖南第一师范学院;                上海翻译                                          生态翻译学,文献计量,回顾与发展      Journal Article                                                         中国生态翻译学十五年文献计量研究  2017
165                                      胡德鑫                                                                                                                                                                                             清华大学教育研究院;          中国人民大学教育学刊                                        高等工程教育,文献计量,科学知识图谱      Journal Article                         我国高等工程教育研究的热点领域与前沿——基于CNKI 2007—2016年文献的计量和可视化分析  2017
166                    郑荣宝;卢润开;唐晓莲;李爽;张雅琪;黄婷                                                                                                                                                                                            广东工业大学管理学院;       华侨大学学报(自然科学版)                                 土地利用/覆盖变化,文献计量,可视化分析,数据挖掘      Journal Article                                                1998-2016年全球LUCC研究进展与热点分析  2017
167                           丁恩俊;谢佳;申丽娟;王雪梅                                                                                                                                                        西南大学图书馆;西南大学图书情报研究所;重庆市数字农业重点实验室;西南大学政治与公共管理学院;       西南大学学报(自然科学版)                 农业信息化,文献计量,Web of Science数据库,CNKI数据库,研究态势      Journal Article                                                    基于文献计量的国内外农业信息化研究态势分析  2017
168                               吴宾;杨一民;娄成武                                                                                                                                                                                   中国海洋大学法政学院;东北大学文法学院;                情报杂志                          文献计量,内容分析法,海洋工程装备,政策工具,公共政策,政策文献      Journal Article                                 基于文献计量与内容分析的政策文献综合量化研究——以中国海洋工程装备制造业政策为例  2017
169                                裴丽;李琼;张素蕙                                                                                                                                                                 教育部人文社会科学重点研究基地北京师范大学教师教育研究中心;邯郸学院教务处;              比较教育研究                                     教师身份认同,分布特征,研究热点,文献计量      Journal Article                            教师身份认同研究的国际前沿与知识基础——基于2000-2016年国际核心期刊的文献计量分析  2017
170                               田丹;刘奕杉;王玉琳                                                                                                                                                                            吉林大学图书馆;东北师范大学计算机科学与信息技术学院;                情报科学                                              热点分析,文献计量,综述      Journal Article                                                热点分析类文章的文献计量分析——以词频分析方法为例  2017
171                                   陈扬森;陈军                                                                                                                                                                                            广东工业大学管理学院;            信息资源管理学报                                社交媒体,文献计量,研究热点,共词分析,社会网络分析      Journal Article                                            基于关键词共现与社会网络分析法的国内外社交媒体研究热点分析  2017
172                                  张轩慧;赵宇翔                                                                                                                                                                                          南京理工大学经济管理学院;           数据分析与知识发现                                  公众科学,文献计量,演化路径,研究热点,图书情报      Journal Article                                                      国际公众科学领域演化路径与研究热点分析  2017
173                                  施萧萧;张庆普                                                                                                                                                                                           哈尔滨工业大学管理学院;                情报学报                                      颠覆性创新,共词分析,知识图谱,文献计量      Journal Article                                                  基于共词分析的国外颠覆性创新研究现状及发展趋势  2017
