                                          A1                                                                                                                                                                                                     AD                  JF                                                        K1                   RT                                                                       T1    YR
23                                   朱军文;马银琦                                                                                                                                                                                            华东师范大学教育学部;     华东师范大学学报(教育科学版)                                           教育,实证研究,文献计量,趋势      Journal Article                                                       教育实证研究这五年：特征、趋势及展望  2020
24                       黄海松;陈启鹏;李宜汀;姚立国;张松松                                                                                                                                                                      贵州大学现代制造技术教育部重点实验室;贵州财经大学大数据统计学院;       贵州大学学报(自然科学版)                                         数字孪生,文献计量,智能制造,应用      Journal Article                                                   数字孪生技术在智能制造中的发展与应用研究综述  2020
25                            李庆军;万连城;王超;张连和                                                                                                                                                                        潍坊学院经济管理学院;西安电子科技大学期刊中心;山东省科学院;                情报杂志                            虚拟学术社区,文献计量,知识图谱,文献共被引网络,高频关键词      Journal Article                                                 基于文献计量的虚拟学术社区研究:现状、热点与趋势  2020
26                                 何江;闫淑敏;关娇                                                                                                                                                                           同济大学经济与管理学院;上海财经大学公共经济与管理学院;                经济地理                   新型城镇化,知识图谱,文献计量,能量分布,演进脉络,热点前沿,智慧城市,都市圈      Journal Article                                         中国新型城镇化:十年研究全景图谱——演进脉络、热点前沿与未来趋势  2020
27                                刘杏梅;赵健;徐建明                                                                                                                                                                          浙江大学环境与资源与学院;浙江省农业资源与环境重点实验室;                土壤学报                             土壤,重金属,钝化,文献计量,Web of Science      Journal Article                               污染农田土壤的重金属钝化技术研究——基于Web of Science数据库的计量分析  2021
28       邓楚雄;朱大美;聂小东;刘唱唱;李忠武;刘俊宇;张光叶;肖林辉;张宇婷                                                                                                                                                                                       湖南师范大学资源与环境科学学院;       中国生态农业学报(中英文)                            生态系统服务权衡,文献计量,评估方法,供需特征,关键驱动因子      Journal Article                                                           生态系统服务权衡最新研究进展  2020
29                             顾海;奉子岚;吴迪;杨妮超                                                                                                                                                                                       南京大学卫生政策与管理研究中心;            信息资源管理学报                       远程医疗,移动医疗,互联网+,文献计量,可视化分析,CiteSpace      Journal Article                                        我国远程医疗研究现状及趋势——基于CiteSpace的文献量化分析  2020
30                                       王贵海                                                                                                                                                                                            南京大学信息管理学院;             大学图书馆学报                             阅读疗法,CiteSpace,文献计量,研究热点,趋势分析      Journal Article                                                     基于文献计量与知识图谱的我国阅读疗法研究  2020
31                            杜师博;李娇;杨芳绒;陈予诺                                                                                                                                                                                             河南农业大学林学院;       西南大学学报(自然科学版)                                    景观评价方法,文献计量,Cite Space      Journal Article                                     国内景观评价方法研究现状及趋势——基于Cite Space的文献计量分析  2020
32                                    崔峰;尚久杨                                                                                                                                                                                       南京农业大学人文与社会发展学院;       中国生态农业学报(中英文)                    农业文化遗产,全球重要农业文化遗产,中国重要农业文化遗产,文献计量,知识图谱      Journal Article                   中国农业文化遗产研究的文献计量与知识图谱分析——基于中国知网(CNKI)和Web of Science数据库  2020
33                                   刘万海;靳荫雷                                                                                                                                                                                            渤海大学教育科学学院;             教育理论与实践                                    深度学习,人工智能,教育领域,教学,核心素养      Journal Article                                      近十年国内教育领域深度学习研究综述——基于CNKI的文献计量可视化分析  2020
34                                   刘小玲;谭宗颖                                                                                                                                                                  中国科学院文献情报中心;中国科学院大学经济与管理学院图书情报与档案管理系;              图书情报工作                                  新兴技术,主题识别,方法研究,文献计量,文本挖掘      Journal Article                                                           新兴技术主题识别方法研究进展  2020
35                 史志华;刘前进;张含玉;王玲;黄萱;方怒放;岳紫健                                                                                                                                               华中农业大学资源与环境学院;临沂大学资源与环境学院;河海大学农业科学与工程学院;中国科学院水利部水土保持研究所;                土壤学报                                     土壤侵蚀,水土保持,文献计量,重点研究领域      Journal Article                                                      近十年土壤侵蚀与水土保持研究进展与展望  2020
36                                       吕晓赞                                                                                                                                                                                                                                          文献计量,跨学科研究,知识生产模式,大数据研究,期刊论文,知识图谱,国际合作,研究主题  Dissertation/Thesis                                                   文献计量学视角下跨学科研究的知识生产模式研究  2020
37                         张宗勇;刘俊国;王凯;田展;赵丹丹  南方科技大学环境科学与工程学院;Water Security Research Centre, School of International Development, University of East Anglia;Water & Development Research Group, Department of Built Environment, Aalto University;                科学通报                                      水资源,粮食,能源,跨部门管理,关联系统      Journal Article                                                    水-粮食-能源关联系统述评:文献计量及解析  2020
38                                    于贵芳;温珂                                                                                                                                                                       中国科学院大学公共政策与管理学院;中国科学院科技战略咨询研究院;               科学学研究                                            公共政策,组织行为,文献计量      Journal Article                                                       公共政策视角下的组织行为研究理论综述  2020
39                                        东阳                                                                                                                                                                                           中国传媒大学传播研究院;               传播与版权                                      文献计量,数字化研究,社会科学,方法衍变      Journal Article                                                                  文献研究法辨析  2020
40                        黄琴诗;朱喜钢;曹钟茗;孙洁;刘风豹                                                                                                                                                                         南京大学建筑与城市规划学院;浙江科技学院土木与建筑工程学院;                林业经济                                       康养旅游,英文文献,文献计量,共词分析      Journal Article                                              国外康养旅游研究的转型与趋势——基于英文文献的计量分析  2020
